district_id,district_name,aparthotel,hotel_rooms
1, centro,1,19962
2, arganzuela,0,1576
3, retiro,0,1450
4, salamanca,2,4709
5, chamartin,2,2664
6, tetuan,1,2328
7, chamberi,0,3091
8, fuencarral-el pardo,0,1482
9, moncloa-aravaca,0,1904
10, latina,0,38
11, carabanchel,0,569
12, usera,0,62
13, puente de vallecas,0,108
14, moratalaz,0,0
15, ciudad lineal,2,1359
16, hortaleza,0,821
17, villaverde,2,250
18, villa de vallecas,0,512
19, vicalvaro,1,0
20, san blas-canillejas,0,3568
21, barajas,1,2466
